t(s),joint,q_ref,qdot_ref,qddot_ref,q_fuzzy,q_hac,e_fuzzy,e_hac,ed_fuzzy,ed_hac,pwm_fuzzy,pwm_hac,delta_pwm,grav_fuzzy,grav_hac
0.1100,elbow,0.030265,0.550000,5.000000,0.001121,0.003161,0.029144,0.027104,0.497466,0.420426,43.8868,86.4922,-42.6054,0.0714,0.2015
0.1100,wrist_angle,0.030250,0.550000,5.000000,0.002717,0.005112,0.027533,0.025138,0.416889,0.344592,72.3815,78.7256,-6.3441,0.1087,0.2045
0.1100,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1200,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1200,shoulder,-0.036000,-0.600000,-5.000000,-0.001300,-0.003747,-0.034700,-0.032253,-0.543421,-0.461045,-54.3312,-101.9967,47.6655,-0.2154,-0.6211
0.1200,elbow,0.036016,0.600000,5.000000,0.001646,0.004457,0.034370,0.031559,0.529912,0.435832,54.6261,98.9697,-44.3435,0.1049,0.2841
0.1200,wrist_angle,0.036000,0.600000,5.000000,0.004048,0.007166,0.031952,0.028834,0.418636,0.342111,91.3287,88.5808,2.7478,0.1619,0.2866
0.1200,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1300,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1300,shoulder,-0.042250,-0.650000,-5.000000,-0.001866,-0.005137,-0.040384,-0.037113,-0.575314,-0.477054,-67.6324,-115.7218,48.0895,-0.3092,-0.8514
0.1300,elbow,0.042267,0.650000,5.000000,0.002347,0.006098,0.039920,0.036169,0.558064,0.446249,67.5238,111.7137,-44.1898,0.1496,0.3888
0.1300,wrist_angle,0.042250,0.650000,5.000000,0.005862,0.009745,0.036388,0.032505,0.407752,0.333061,112.2302,98.1719,14.0583,0.2345,0.3898
0.1300,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1400,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1400,shoulder,-0.049000,-0.700000,-5.000000,-0.002612,-0.006866,-0.046388,-0.042134,-0.602774,-0.488491,-83.5169,-129.7778,46.2610,-0.4330,-1.1381
