t,phase,ref,pos,vel,e,u
2.196734,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.207044,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.217216,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.227565,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.237722,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.248045,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.258246,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.268594,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.278809,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.289143,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.299373,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.309777,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.319951,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.330299,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.340477,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.350871,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.361058,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.371439,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.381621,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.391903,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.402051,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.412402,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.422557,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.432939,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.443132,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.453428,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.463619,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.473892,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.484063,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.494388,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.504558,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.514813,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.524963,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.535775,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.546023,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.556454,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.566637,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.576998,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.587181,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.597493,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.607641,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.617940,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.628132,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.638427,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.648566,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.658827,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.668986,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.679321,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
